"#","Malın adı","Barcode","Anbarda  sayı","Gəliş qiym. (azn)","Gəliş qiym. cəmi (azn)","Satış qiym.  (azn)","Topdan sat.  (azn)","Satış qiym.   cəmi (azn)","Şirkət","Mal qrupu","Anbar","Blok"
"","","","4223","","68174.42","","","95015.5","","","",""
"1","Dron (kamerasız)","00001","28","40","1120","50","0","1400","JoyTeamToys","Dronlar","Mağaza","102"
"2","Drone Socccer Karkas","00212","0","20","0","30","0","0","Lafvin","Dronlar","Mağaza","305"
"3","FlySky FS-A6B Receiver","00213","0","14","0","40","0","0","Lafvin","Dronlar","Mağaza","204"
"4","AlphaRC 3"" Frame Kit","00214","0","12","0","16","0","0","Lafvin","Dronlar","Mağaza","301"
"5","My First Electric Circuit","00003","23","8","184","10","0","230","Shantou Tengxin Edu-Toys Industrial","Öyrədici setlər","Mağaza","503"
"6","Robotic Arm","00004","10","45.6","456","57","0","570","Shantou Tengxin Edu-Toys Industrial","Öyrədici setlər","Mağaza","602"
"7","Fly-High Rocket","00005","12","12.8","153.6","16","0","192","Shantou Tengxin Edu-Toys Industrial","Öyrədici setlər","Mağaza","503"
"8","RoDost","00006","61","17.6","1073.6","22","0","1342","Shantou Tengxin Edu-Toys Industrial","Öyrədici setlər","Mağaza","504"
"9","Static Shocker","00007","5","9.6","48","12","0","60","Shantou Tengxin Edu-Toys Industrial","Öyrədici setlər","Mağaza","503"
"10","WeDo","00028","28","250","7000","300","0","8400","Aliexpress","Öyrədici setlər","Mağaza","701"
"11","Python AI","00029","51","250","12750","300","0","15300","Aliexpress","Öyrədici setlər","Mağaza","502"
"12","Py-Maker","00030","53","192","10176","300","0","15900","Yahoom Enola","Öyrədici setlər","Mağaza","702"
"13","ROBOMONTE-Animal Story","00077","73","68","4964","85","0","6205","HIQ - CITY LONGYEAH TOYS INDUSSHANTOU TRIA","Öyrədici setlər","Mağaza","501"
